Model,Creator,Intelligence Index,Blended Price USD/1M,Input USD/1M,Output USD/1M,Median Tokens/s,Context Window,OpenRouter ID,Open Weights,License
G9v3-39A5B,AI9Stars,21.8,0.0000,0,0,,131072,,True,
Gemma 4 31B (Reasoning),Google,19.0,0.0000,0,0,35.3,256000,,True,
Ling 3.0 Tiny,InclusionAI,15.3,0.0000,0,0,25.6,262144,,True,
Apriel-v1.6-15B-Thinker,ServiceNow,13.4,0.0000,0,0,,128000,,True,
Command A+,Cohere,13.1,0.0000,0,0,214.4,192000,,True,
G9v3-3B,AI9Stars,10.8,0.0000,0,0,,131072,,True,
North Mini Code,Cohere,9.9,0.0000,0,0,92.7,256000,,True,
LFM2.5-2.6B,Liquid AI,8.4,0.0000,0,0,,128000,,True,
Olmo 3.1 32B Think,Allen Institute for AI,7.1,0.0000,0,0,,65500,,True,
Phi-4 Mini Instruct,Microsoft,6.3,0.0000,0,0,44.2,128000,,True,
Phi-4 Multimodal Instruct,Microsoft,5.8,0.0000,0,0,17.1,128000,,True,
Tiny Aya Global,Cohere,4.8,0.0000,0,0,,8192,,True,
